queryid,responseid,queryname,responsename,releasedate,requiredage,democount,developercount,dlccount,metacritic,moviecount,packagecount,recommendationcount,publishercount,screenshotcount,steamspyowners,steamspyownersvariance,steamspyplayersestimate,steamspyplayersvariance,achievementcount,achievementhighlightedcount,controllersupport,isfree,freeveravail,purchaseavail,subscriptionavail,platformwindows,platformlinux,platformmac,pcreqshavemin,pcreqshaverec,linuxreqshavemin,linuxreqshaverec,macreqshavemin,macreqshaverec,categorysingleplayer,categorymultiplayer,categorycoop,categorymmo,categoryinapppurchase,categoryincludesrcsdk,categoryincludeleveleditor,categoryvrsupport,genreisnongame,genreisindie,genreisaction,genreisadventure,genreiscasual,genreisstrategy,genreisrpg,genreissimulation,genreisearlyaccess,genreisfreetoplay,genreissports,genreisracing,genreismassivelymultiplayer,pricecurrency,priceinitial,pricefinal,supportemail,supporturl,abouttext,background,shortdescrip,detaileddescrip,drmnotice,extuseracctnotice,headerimage,legalnotice,reviews,supportedlanguages,website,pcminreqstext,pcrecreqstext,linuxminreqstext,linuxrecreqstext,macminreqstext,macrecreqstext
10,10,Counter-Strike,Counter-Strike,Nov 1 2000,0,0,1,0,88,0,1,68991,1,13,13033334,92789,9140731,78136,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,9.99,9.99,,http://steamcommunity.com/app/10,Play the worlds number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your teams success. Your teams success affects your role.,http://cdn.akamai.steamstatic.com/steam/apps/10/page_bg_generated_v6b.jpg?t=1447887426,,Play the worlds number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your teams success. Your teams success affects your role.,,,http://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1447887426,,,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
20,20,Team Fortress Classic,Team Fortress Classic,Apr 1 1999,0,0,1,0,0,0,1,2439,1,5,5399140,60368,753627,22699,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,4.99,4.99,,,One of the most popular online action games of all time Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons items and abilities as teams compete online in a variety of game play modes.,http://cdn.akamai.steamstatic.com/steam/apps/20/page_bg_generated_v6b.jpg?t=1447350811,,One of the most popular online action games of all time Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons items and abilities as teams compete online in a variety of game play modes.,,,http://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg?t=1447350811,,,English French German Italian Spanish,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
30,30,Day of Defeat,Day of Defeat,May 1 2003,0,0,1,0,79,0,1,2319,1,5,7621102,71499,1709740,34145,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,4.99,4.99,,,Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry sniper or machine-gunner class each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And as war rages players must work together with their squad to accomplish a variety of mission-specific objectives.,http://cdn.akamai.steamstatic.com/steam/apps/30/page_bg_generated_v6b.jpg?t=1447350812,,Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry sniper or machine-gunner class each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And as war rages players must work together with their squad to accomplish a variety of mission-specific objectives.,,,http://cdn.akamai.steamstatic.com/steam/apps/30/header.jpg?t=1447350812,,,English French German Italian Spanish,http://www.dayofdefeat.com/,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
40,40,Deathmatch Classic,Deathmatch Classic,Jun 1 2001,0,0,1,0,0,0,1,888,1,4,7498965,70936,789676,23235,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,4.99,4.99,,,Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valves tribute to the work of id software DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.,http://cdn.akamai.steamstatic.com/steam/apps/40/page_bg_generated_v6b.jpg?t=1447350812,,Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valves tribute to the work of id software DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.,,,http://cdn.akamai.steamstatic.com/steam/apps/40/header.jpg?t=1447350812,,,English French German Italian Spanish,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
50,50,Half-Life: Opposing Force,Half-Life: Opposing Force,Nov 1 1999,0,0,1,0,0,0,1,2934,1,5,5399499,60370,705741,21968,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,4.99,4.99,,,Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents and experiment with new weaponry. Named Game of the Year by the Academy of Interactive Arts and Sciences.,http://cdn.akamai.steamstatic.com/steam/apps/50/page_bg_generated_v6b.jpg?t=1447350813,,Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents and experiment with new weaponry. Named Game of the Year by the Academy of Interactive Arts and Sciences.,,,http://cdn.akamai.steamstatic.com/steam/apps/50/header.jpg?t=1447350813,,,English French German Korean,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
60,60,Ricochet,Ricochet,Nov 1 2000,0,0,1,0,0,0,1,1965,1,4,7488563,70888,843481,24011,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,4.99,4.99,,,A futuristic action game that challenges your agility as well as your aim Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.,http://cdn.akamai.steamstatic.com/steam/apps/60/page_bg_generated_v6b.jpg?t=1453942008,,A futuristic action game that challenges your agility as well as your aim Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.,,,http://cdn.akamai.steamstatic.com/steam/apps/60/header.jpg?t=1453942008,,,English French German Italian Spanish,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
70,70,Half-Life,Half-Life,Nov 8 1998,0,0,1,1,96,0,1,12486,1,11,5927504,63206,2268772,39303,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,9.99,9.99,,http://steamcommunity.com/app/70,Named Game of the Year by over 50 publications Valves debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.,http://cdn.akamai.steamstatic.com/steam/apps/70/page_bg_generated_v6b.jpg?t=1447890508,,Named Game of the Year by over 50 publications Valves debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.,,,http://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg?t=1447890508,,,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,http://www.half-life.com/,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
80,80,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,0,0,1,0,65,0,1,7067,1,8,10489261,83543,4127910,52878,0,0,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,9.99,9.99,,http://steamcommunity.com/app/80,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,http://cdn.akamai.steamstatic.com/steam/apps/80/page_bg_generated_v6b.jpg?t=1447889920,,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,,,http://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1447889920,,,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,,,,
80,80,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,0,0,1,0,65,0,1,7067,1,8,10489261,83543,4127910,52878,0,0,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,9.99,9.99,,http://steamcommunity.com/app/80,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,http://cdn.akamai.steamstatic.com/steam/apps/80/page_bg_generated_v6b.jpg?t=1447889920,,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,,,http://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1447889920,,,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,,,,
130,130,Half-Life: Blue Shift,Half-Life: Blue Shift,Jun 1 2001,0,0,1,0,71,0,1,2219,1,5,5368650,60199,662517,21286,0,0,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,USD,4.99,4.99,,,Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun the security guard sidekick who helped Gordon out of so many sticky situations.,http://cdn.akamai.steamstatic.com/steam/apps/130/page_bg_generated_v6b.jpg?t=1447350816,,Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun the security guard sidekick who helped Gordon out of so many sticky situations.,,,http://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg?t=1447350816,,,English French German,None,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
